세계기후평년값,,,,,,,,,,
[검색조건],,,,,,,,,,
검색구분 : 월별평년값,,,,,,,,,,
, 지점명 : 전체,,,,,,,,,
, 기간 : 1980년대 00월,,,,,,,,,
국가,지점명,지점번호,시작년도,종료년도,월,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),일조시간(hr)
덴마크,AARHUS,6075,1981,2010,9,25.4,29.9,21,,128
일본,ABASHIRI,47409,1981,2010,1,6.2,,,55,114
일본,ABASHIRI,47409,1981,2010,2,7.4,,,36,139
일본,ABASHIRI,47409,1981,2010,3,2.3,1.6,,44,172
일본,ABASHIRI,47409,1981,2010,4,4.4,8.9,0.4,52,178
일본,ABASHIRI,47409,1981,2010,5,9.4,14.2,5.4,62,189
일본,ABASHIRI,47409,1981,2010,6,13.1,17.2,9.8,54,174
일본,ABASHIRI,47409,1981,2010,7,17.1,20.8,14,87,169
일본,ABASHIRI,47409,1981,2010,8,19.6,23.4,16.6,101,172
일본,ABASHIRI,47409,1981,2010,9,16.3,20.2,12.9,108,165
일본,ABASHIRI,47409,1981,2010,10,10.6,14.8,6.6,70,160
일본,ABASHIRI,47409,1981,2010,11,3.7,7.4,0.1,60,121
일본,ABASHIRI,47409,1981,2010,12,3,0.7,,59,115
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,1,23.1,34.6,5.7,,231
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,2,24,36.5,10.4,252,230
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,3,25.7,39.1,10.9,26,266
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,4,27.8,40.1,14.7,30,280
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,5,29,40.7,19.2,77,279
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,6,28.3,38.8,21,173,244
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,7,27.7,37.1,20.7,162,263
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,8,27.7,36.7,20.7,166,259
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,9,27.3,36.3,20,178,237
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,10,26.4,35.5,16.4,99,233
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,11,24.8,34.6,12.9,45,224
멕시코,AEROP.INTERNACIONAL MERIDA,76644,1981,2010,12,23.1,34.6,10,32,231
